employee_id,age,gender,department,job_role,education,years_experience,monthly_salary,training_hours,attendance_percent,projects_completed,overtime_hours,satisfaction_score,work_life_balance,manager_rating,last_promotion_years,remote_days_per_month,skill_score,performance_score,performance_label,attrition_risk
EMP0001,37,Female,Operations,Process Analyst,Postgraduate,14,79373,35.0,88.1,8,6,8.0,8,3.5,5,7,66,89.5,High Performer,5.0
EMP0002,31,Female,Operations,Operations Manager,Postgraduate,6,89670,32.0,87.4,6,18,,7,3.8,6,4,65,67.3,Average Performer,7.7
EMP0003,26,Male,Engineering,Data Analyst,Graduate,1,86419,40.0,86.0,6,15,7.0,8,3.7,4,6,72,80.4,High Performer,5.0
EMP0004,42,Female,Operations,Process Analyst,Postgraduate,19,125439,23.0,95.8,4,10,7.0,7,4.0,4,4,73,87.1,High Performer,5.0
EMP0005,30,Female,Operations,Operations Associate,Graduate,4,78285,28.0,91.0,8,11,7.0,5,3.2,2,1,76,76.4,High Performer,5.0
EMP0006,39,Female,Engineering,Software Engineer,Graduate,14,104920,33.0,79.9,4,2,5.0,7,2.9,2,11,72,80.3,High Performer,5.0
EMP0007,25,Female,Sales,Sales Executive,Graduate,2,72213,36.0,86.4,2,14,6.0,7,3.5,5,5,56,63.8,Average Performer,6.0
EMP0008,28,Female,HR,HR Manager,Graduate,6,58734,26.0,84.4,5,1,,6,2.5,1,7,81,89.8,High Performer,6.8
EMP0009,42,Female,Support,Customer Support,Graduate,18,90015,26.0,89.2,11,15,6.0,5,2.3,2,5,98,84.2,High Performer,7.6
EMP0010,57,Male,Support,Service Associate,Graduate,35,163041,24.0,95.0,8,22,7.0,6,3.5,1,7,83,81.9,High Performer,5.0
EMP0011,48,Male,Support,Customer Support,MBA,22,120672,36.0,87.5,12,17,9.0,7,2.6,0,12,98,95.2,High Performer,5.0
EMP0012,47,Female,Finance,Finance Manager,Graduate,21,130219,29.0,90.0,8,17,9.0,6,4.0,0,5,70,85.6,High Performer,5.0
EMP0013,47,Female,Operations,Operations Associate,Graduate,27,133362,28.0,88.0,12,18,9.0,6,3.0,2,6,86,91.1,High Performer,5.6
EMP0014,22,Male,HR,HR Manager,Postgraduate,0,54551,16.0,86.5,6,24,5.0,5,2.0,2,1,61,46.5,Needs Improvement,8.3
EMP0015,38,Male,Operations,Operations Associate,Graduate,14,117042,68.0,83.0,7,17,10.0,5,,4,7,71,90.4,High Performer,5.0
EMP0016,47,Female,Engineering,Software Engineer,Graduate,27,148158,46.0,90.9,10,14,,5,3.7,2,14,98,98.0,High Performer,5.0
EMP0017,40,Female,Sales,Account Manager,MBA,13,100261,13.0,95.6,9,4,6.0,7,,2,5,72,85.8,High Performer,5.5
EMP0018,50,Female,HR,HR Executive,Postgraduate,27,121037,12.0,92.0,14,0,8.0,6,3.5,1,4,98,98.0,High Performer,5.0
EMP0019,41,Male,Sales,Business Associate,Postgraduate,14,93441,34.0,85.8,10,3,8.0,6,4.3,4,13,85,92.0,High Performer,5.0
EMP0020,28,Male,Support,Support Lead,Postgraduate,2,46612,21.0,90.2,3,7,,8,3.9,0,7,70,74.1,Average Performer,6.2
EMP0021,55,Female,Finance,Financial Analyst,Graduate,29,146920,44.0,86.6,12,23,7.0,7,3.7,1,5,83,97.9,High Performer,9.5
EMP0022,48,Male,HR,HR Executive,Postgraduate,25,110632,36.0,95.1,9,25,8.0,8,3.9,7,5,58,91.4,High Performer,7.3
EMP0023,38,Male,Engineering,Software Engineer,Graduate,13,97970,39.0,93.1,8,1,2.0,6,3.2,3,8,77,84.5,High Performer,5.0
EMP0024,30,Male,Engineering,Team Lead,Graduate,9,107346,29.0,93.1,6,12,8.0,3,2.6,0,0,65,81.4,High Performer,5.0
EMP0025,47,Female,Operations,Operations Manager,Graduate,21,128743,35.0,85.0,7,0,5.0,6,,6,0,85,84.0,High Performer,5.0
EMP0026,38,Female,Support,Support Lead,Graduate,13,76093,21.0,86.1,9,12,7.0,7,4.4,2,0,88,85.5,High Performer,6.6
EMP0027,40,Female,Engineering,Data Analyst,Postgraduate,15,113332,35.0,96.5,6,16,6.0,7,2.9,0,0,63,74.9,Average Performer,5.3
EMP0028,27,Male,HR,Recruiter,Postgraduate,6,68115,,91.1,8,10,8.0,4,3.5,7,6,88,84.0,High Performer,5.1
EMP0029,40,Male,Finance,Finance Manager,Graduate,18,122987,47.0,92.2,7,18,6.0,8,2.2,2,0,60,82.6,High Performer,8.2
EMP0030,46,Male,Marketing,Marketing Manager,Graduate,26,159044,39.0,86.6,11,0,6.0,6,3.4,4,7,91,98.0,High Performer,5.0
EMP0031,42,Female,Support,Support Lead,Diploma,21,119345,28.0,98.7,9,16,9.0,6,2.8,2,7,61,89.6,High Performer,5.0
EMP0032,48,Female,Finance,Finance Manager,Graduate,25,122585,36.0,88.9,9,12,7.0,5,4.0,4,7,89,98.0,High Performer,8.6
